accX,accY,accZ,gyroX,gyroY,gyroZ
-3.602,0.824,8.698,0.115,-0.539,0.267
-3.602,0.824,8.698,0.115,-0.539,0.267
-3.602,0.824,8.698,0.115,-0.539,0.267
-3.602,0.824,8.698,0.115,-0.539,0.267
-2.72,2.299,5.633,-1.003,-1.639,-0.542
0.153,-1.36,8.41,-3.524,-0.317,-0.817
-3.429,-3.391,17.798,1.186,-1.811,0.533
-1.973,-2.529,24.657,3.166,0.611,0.307
1.686,-4.579,2.069,8.396,-0.466,0.529
-0.536,-3.391,-0.211,8.36,-0.154,0.495
-0.172,-3.544,0.402,8.229,0.393,0.682
-0.172,-3.544,0.402,8.037,0.861,1.194
0.057,-3.349,0.01,7.809,1.325,1.588
0.431,-3.299,1.541,7.022,3.299,2.878
3.772,3.772,17.97,-0.953,1.109,-0.211
-0.531,-0.337,2.569,-0.434,0.99,-0.301
-1.452,-0.718,21.162,-0.02,0.258,-0.008
-0.303,-0.078,9.648,-0.005,0,-0.001
-0.3,-0.06,10.123,0.004,0.001,0
-0.316,-0.092,10.058,-0.001,0.001,0
-0.319,-0.095,10.043,-0.001,0.001,0.001
-0.308,-0.1,10.122,0,0,0
-0.326,-0.082,10.062,-0.001,0,0
-0.301,-0.058,10.064,0.001,0.001,0
-0.299,-0.1,10.068,-0.001,0,0.001
-0.342,-0.047,10.089,0.001,0,-0.001
-0.329,-0.065,10.08,0,0,-0.001
-0.306,-0.081,10.095,0,0,0
-0.309,-0.08,10.064,0,0,0.001
-0.342,-0.061,10.052,0,-0.001,0
