accX,accY,accZ,gyroX,gyroY,gyroZ
-1.705,0.35,10.054,-0.793,-1.683,-0.816
-1.705,0.35,10.054,-0.793,-1.683,-0.816
0.225,-2.078,8.211,-0.753,-1.447,0.535
-0.508,-1.743,10.083,-0.445,-1.161,-0.164
0.771,-0.9,11.577,-1.168,-0.831,-0.183
-1.24,-2.241,29.989,-0.157,-1.538,-0.393
-0.086,-0.283,0.454,3.15,1.323,0.535
-0.081,-0.302,0.597,3.078,1.432,0.717
-0.081,-0.287,0.66,2.858,1.612,1.079
-0.101,-0.206,0.645,2.678,1.712,1.258
5.478,6.986,-8.194,-13.412,-5.761,6.091
-6.349,-3.151,-25.006,-1.534,-6.786,-1.581
1.978,2.892,4.682,-0.55,0.28,0.04
-0.019,0.043,10.481,0.019,-0.028,-0.01
-0.053,0.048,10.37,0.017,-0.021,-0.016
-0.029,0.072,10.385,0.029,-0.031,-0.012
0,0.086,10.351,0.009,-0.027,-0.006
-0.019,0.067,10.28,0.022,-0.01,0
-0.038,0.096,10.385,0.026,-0.018,-0.023
-0.029,0.053,10.342,0.014,-0.025,-0.015
-0.067,0.062,10.323,0.021,-0.025,-0.015
-0.034,0.086,10.366,0.018,-0.027,-0.013
-0.048,0.034,10.38,0.009,-0.021,-0.017
-0.043,0.029,10.303,0.023,-0.019,-0.018
-0.01,0.086,10.375,0.014,-0.023,-0.01
0.029,0.096,10.303,0.005,-0.018,-0.013
-0.043,0.043,10.332,0.004,-0.01,-0.015
-0.12,0.105,10.169,0.023,0.001,-0.026
-0.124,0.086,10.313,0.017,-0.021,-0.007
-0.048,0.034,10.294,0.037,-0.031,-0.007
