accX,accY,accZ,gyroX,gyroY,gyroZ
-3.8409380913,3.6366329193,10.119918823,-0,-0,-0
-3.8409380913,3.6366329193,10.119918823,-0,-0,-0
-3.8409380913,3.6366329193,10.119918823,-0,-0,-0
1.552719593,3.0918190479,9.6159658432,0.16554448009,0.19089539349,-0.39828413725
1.552719593,3.0918190479,9.6159658432,1.1749993563,-1.7125607729,-1.0467176437
-7.2324047089,-1.2530720234,2.465282917,-0.108123146,-3.6502251625,5.0243668556
-8.6353006363,-4.4674739838,1.6480621099,-2.368019104,2.6991081238,-4.7748279572
15.404613495,11.495573044,14.478429794,2.7736337185,-0.61239242554,-1.0867292881
10.188019753,12.0131464,3.8136973381,2.4953844547,-2.6120598316,1.0118982792
-4.2495484352,-0.21792556345,4.290409565,-3.7620136738,2.8356363773,-3.4028248787
10.283362389,9.3435583115,10.637491226,1.7266106606,-4.4660358429,2.369546175
-1.8251266479,1.4437568188,4.8897047043,-0.060781091452,2.9345965385,-1.2147055864
10.596630096,6.9872384071,12.59882164,0.067806042731,-0.15485434234,1.6804902554
-2.0021910667,0.68101739883,5.4072780609,-9.16E-04,2.3527474403,-2.2583687305
7.4094691277,4.930565834,14.927901268,-1.9953913689,-1.0311405659,1.3182471991
-1.3620347977,1.3075534105,3.8000769615,0.80084431171,1.8102991581,-1.8906279802
2.315459013,-0.9806650281,6.3198413849,-4.497800827,-1.6007723808,0.54397547245
-0.013620347716,-0.85808187723,0.93980401754,2.4330763817,1.6853772402,-2.222022295
1.4165161848,1.0215260983,7.8998017311,-1.411709547,-0.79015421867,-1.7140878439
10.119918823,-0.12258312851,18.57815361,2.1624629498,6.0002236366,-0.4844161272
0.3541290462,-0.16344417632,0.55843424797,2.8283061981,-0.87934052944,-1.341765523
-1.4165161848,1.1849702597,4.0043821335,0.17745634913,4.1221184731,0.099571034312
6.1700177193,3.8273177147,15.935807228,-1.1572842598,-2.8783969879,1.1285735369
8.008764267,-1.4846179485,8.9349479675,3.9193115234,6.4296622276,-0.15088371933
-2.8057916164,-0.24516625702,-2.4925236702,2.8200592995,2.6658158302,-2.2153027058
3.1054391861,2.1383945942,8.3765134811,-2.5256223679,-3.5039229393,2.0189096928
11.12782383,-1.8387469053,19.640541077,1.0054842234,-0.83596909046,-0.18387043476
0.3541290462,-0.24516625702,0.50395286083,3.1621439457,2.4223861694,-0.32589662075
1.2803126574,3.0645782948,1.5935807228,3.0735685825,2.2137756348,0.13316862285
-0.21792556345,0.57205462456,12.503479004,-3.3802227974,-1.1725558043,2.0961840153
