accX,accY,accZ,gyroX,gyroY,gyroZ
-0.58567494154,6.4832854271,7.9270424843,-0,-0,-0
-0.58567494154,6.4832854271,7.9270424843,-0,-0,-0
-0.58567494154,6.4832854271,7.9270424843,-0,-0,-0
-0.24516625702,5.1757321358,8.2130699158,-1.3695598841,1.310305953,-2.1355848312
-8.1858291626,1.5799603462,9.3163175583,-0.4114177525,3.136487484,2.9590313435
5.1484913826,7.9270424843,17.965238571,-0.49571713805,2.370462656,1.541823864
5.0803894997,-15.949427605,-17.052675247,6.6471300125,9.8902139664,-1.2611312866
8.1313476563,8.0223846436,16.439760208,-9.689239502,-4.2675046921,5.7002892494
-4.0180025101,-10.337843895,-1.089627862,9.9888687134,3.2876768112,1.003651619
13.593107224,-12.571580887,-13.742930412,-2.3906211853,8.242099762,-3.1254920959
3.5957717896,7.4775710106,14.982382774,-2.8915307522,-0.6994407177,0.96486163139
-0.13620348275,0.14982382953,4.0588636398,-5.7363300323,-5.0796499252,2.2708916664
0.73549878597,-11.155064583,2.7513103485,-0.69149947166,0.9184358716,3.7192530632
-14.859799385,-1.7025434971,7.7635979652,9.9888687134,-1.5909985304,0.50457471609
10.773694992,16.317176819,18.305747986,-10.003529549,-1.6081027985,-1.0207557678
-0.28602731228,-18.428331375,-15.758742332,9.9128160477,-0.38973203301,-2.559830904
12.544340134,15.990287781,18.496431351,-10.003529549,-1.9394971132,1.6759088039
-7.6818761826,-17.665590286,-14.028958321,1.7250834703,1.9257526398,1.8875735998
8.8804664612,9.6704473495,17.910757065,9.9888687134,-5.0836205482,-1.6548339128
5.706925869,-17.897136688,-12.966570854,5.214345932,4.926322937,-0.71837753057
13.633968353,15.132205963,18.16954422,9.9888687134,2.5201246738,-2.5943446159
1.2530720234,-18.033340454,-14.791697502,5.0775117874,3.7574322224,1.0225883722
11.345749855,10.542149544,16.957332611,5.8246002197,0.75594574213,-3.1160235405
-9.3163175583,-15.963047981,-13.702070236,1.9361374378,-3.1670308113,2.2369885445
17.992479324,10.160778999,17.543008804,-6.2580089569,-0.15332718194,0.85337877274
-16.834749222,-10.05181694,-13.211737633,-8.9048881531,-3.1172454357,8.985827446
15.445474625,7.5456724167,17.965238571,0.49449542165,0.031764991581,-1.8686367273
-14.451189041,-16.793888092,-5.4072780609,6.3224554062,1.2760975361,-5.6566123962
14.778077126,4.1542062759,19.408994675,-1.5561791658,3.2525520325,8.3712968826
-2.5061440468,-14.097060204,-17.039054871,8.642827034,10.008416176,-5.1865515709
