accX,accY,accZ,gyroX,gyroY,gyroZ
-0.3541290462,-0.61291563511,11.12782383,-0,-0,-0
-0.3541290462,-0.61291563511,11.12782383,-0,-0,-0
-0.3541290462,-0.61291563511,11.12782383,-0,-0,-0
-0.095342434943,1.5390993357,8.9758090973,-0,-0,-0
2.5333845615,0.7082580924,15.295650482,-1.6948456764,-0.73792523146,1.5940529108
6.2789802551,-0.99428540468,6.9736180305,8.7301807404,-9.7576560974,-2.3909265995
6.251739502,6.1836380959,-15.799603462,-2.665510416,8.1706285477,-3.1346549988
-6.5105261803,-17.774553299,16.221834183,-10.003529549,-0.30237829685,-6.228992939
7.6954965591,5.911231041,-16.058389664,9.9888687134,4.7827692032,3.6945130825
4.7126402855,-17.284221649,14.15154171,-10.003529549,-2.2824978828,-1.1301007271
13.484144211,4.4810943604,-16.848369598,9.9888687134,4.1990876198,1.2263119221
15.023243904,-11.195925713,8.2130699158,-5.7977218628,-3.1062498093,-1.6016886234
6.1700177193,-0.46309182048,-15.091344833,9.9888687134,6.8279461861,3.4840698242
9.3844194412,4.6036777496,-9.8066501617,-5.0793447495,-2.7727172375,0.37843102217
14.64187336,-9.9564743042,-10.828176498,-9.8230190277,-5.4275379181,-0.081550508738
7.5320525169,3.377846241,-14.219642639,6.318789959,4.7659707069,-6.0729169846
16.684925079,-14.342226028,13.484144211,-6.5671067238,-6.1889810562,1.410182476
2.2064962387,-4.4538536072,-17.897136688,9.9888687134,3.9770381451,-0.86498516798
6.8374147415,-1.8115062714,-12.408136368,-3.2852332592,0.30940324068,0.46364670992
15.282030106,-14.314985275,10.664731979,-10.003529549,-5.7882537842,2.7736337185
3.5140497684,4.4538536072,-17.011814117,9.9888687134,7.2103481293,-1.3286318779
14.042578697,-17.583868027,17.924377441,-7.0869531631,-1.9141463041,0.77763146162
-5.0940098763,-3.2144019604,-18.278507233,-10.003529549,-9.8456201553,1.1710287333
5.8839902878,3.6366329193,-14.423948288,-10.003529549,-9.190161705,1.157589674
12.544340134,-2.9692358971,-1.9204690456,5.0475792885,10.008416176,-2.0118846893
-1.9885708094,4.7807421684,-18.945903778,-7.3768086433,-2.165211916,2.4599542618
17.365943909,-8.7851238251,16.657684326,-0.22174409032,-0.53542339802,-2.3435845375
-1.4709975719,-0.29964765906,-18.251266479,6.1563000679,3.6288449764,-2.0589213371
17.897136688,-13.034672737,16.085630417,-9.6428136826,-7.9165081978,2.6526823044
-6.7284517288,4.0588636398,-18.632635117,4.1160101891,9.8752479553,-1.4660766125
