accX,accY,accZ,gyroX,gyroY,gyroZ
-2.8602731228,1.6072009802,9.5070028305,-0,-0,-0
-2.8602731228,1.6072009802,9.5070028305,-0,-0,-0
-6.3470821381,2.5878660679,5.5707221031,-0,-0,-0
-4.4129924774,2.2473573685,8.1177272797,-0.53297990561,4.5185704231,1.7644842863
-5.6115832329,0.57205462456,7.3822283745,-0.078190751374,-1.303586483,-0.4098905921
3.0918190479,3.8409380913,7.4094691277,4.0381245613,-7.687128067,4.2021422386
-4.6717791557,-5.8295087814,13.375181198,-7.665137291,9.8752479553,-2.6899452209
-2.5742456913,10.065437317,-12.653303146,9.9888687134,-9.9888687134,-5.7726764679
11.645397186,-5.5571017265,14.628252983,-10.003529549,4.8090367317,2.1798725128
8.9758090973,4.086104393,1.3211737871,2.5552492142,9.6156301498,3.4513885975
4.4402332306,-2.5061440468,-5.5162405968,3.6627480984,-6.9537844658,-6.0949077606
12.898468971,3.9226601124,-5.2165932655,-10.003529549,-1.3640620708,-4.7033567429
13.64758873,17.474906921,-17.488527298,2.1740694046,0.40103304386,-1.7941112518
-11.890563965,-17.679210663,17.733692169,-9.2649927139,-1.1951578856,-5.553375721
18.319368362,16.276315689,-14.873419762,5.5949149132,5.1944928169,9.7717056274
-6.0610547066,-17.57024765,17.216119766,-1.8234328032,-2.7803530693,-3.6080756187
12.081248283,13.974476814,-16.998193741,5.8862977028,0.44165557623,0.32192599773
16.793888092,17.692831039,-13.034672737,8.2240791321,-0.2177734673,0.78068578243
15.377372742,4.7535014153,-1.7570248842,3.0201177597,7.864584446,10.008111
8.0360050201,-17.842655182,15.213928223,-3.378084898,-5.9870901108,-7.1733903885
12.408136368,0.7082580924,-12.394515991,9.9888687134,0.29443705082,-1.4025466442
5.0531492233,-4.4674739838,8.8940868378,-10.001696587,-3.2968397141,-5.2247304916
0.89894294739,2.5606253147,2.9011340141,1.0894781351,3.1089987755,4.5866818428
1.8115062714,2.4789032936,10.637491226,-3.5448510647,-0.91477072239,-0.96241819859
1.3075534105,2.5742456913,9.2618360519,-0.64415740967,1.4666874409,0.81336706877
-0.39499008656,3.936280489,9.4116601944,1.5503759384,-0.52687126398,0.41508293152
-0.95342433453,2.9556155205,9.6023454666,-0.78496181965,0.52717667818,-0.34452798963
-0.095342434943,3.6774938107,9.08477211,2.1432206631,-2.1041252613,-0.90377515554
0.095342434943,3.377846241,9.1256332397,-1.5964963436,0.56932640076,-0.55710911751
-0.44947147369,3.1871614456,9.3707990646,0.18325957656,-0.024129176512,0.97188657522
