accX,accY,accZ,gyroX,gyroY,gyroZ
-5.2846951485,-7.4775710106,3.0645782948,-0,-0,-0
-5.2846951485,-7.4775710106,3.0645782948,-0,-0,-0
-5.0803894997,-7.5456724167,1.8659876585,-0,-0,-0
-1.2803126574,-3.731975317,0.38136973977,-0.62613689899,1.1414017677,-3.1303789616
6.4151835442,-18.224025726,2.669588089,-0.47647488117,-1.6557502747,-2.326174736
0.24516625702,-8.6080598831,0.43585112691,-0.62552601099,1.9000962973,0.3375030458
0.85808187723,-12.299174309,1.0215260983,-0.20586158335,1.2232576609,0.073303826153
0.40861043334,-10.228880882,0.61291563511,1.8533651829,0.77793687582,0.63499444723
2.465282917,-13.865513802,3.9226601124,0.61269783974,2.2660045624,0.59712076187
0.66739702225,-3.0918190479,-0.9806650281,1.3878858089,-1.9602665901,0.14905111492
1.5799603462,-16.603204727,10.610250473,-1.4138475657,-3.2372803688,-0.024129176512
5.0531492233,-11.55005455,-3.1463003159,-0.50457471609,1.6261233091,0.53542339802
3.5004293919,-7.2868862152,0.43585112691,-0.55833083391,0.80176061392,-0.13561208546
2.7104492188,-10.324223518,-0.38136973977,-3.4458909035,-5.5869736671,-0.21899518371
0.92618364096,-11.999526024,-0.027240695432,-0.15577064455,2.1621575356,-0.27366763353
-1.9613300562,-11.836082458,1.0079057217,-1.4978415966,2.5057692528,-0.56413406134
6.4560446739,-14.383087158,-2.4925236702,3.1673362255,-1.2180652618,1.9031506777
0.19068486989,-2.5333845615,-0.73549878597,1.3845261335,-1.0476338863,0.6285803318
1.1032481194,-10.637491226,1.0079057217,-1.0131200552,-3.0317242146,0.096822142601
4.6717791557,-8.8940868378,-0.92618364096,0.58307087421,-1.1447614431,-0.44654250145
2.6968288422,-10.351464272,-0.27240696549,-1.3472633362,0.35338553786,-0.25900685787
-0.81722086668,-11.223166466,0.96704471111,0.01985312067,3.47032547,0.063529983163
1.089627862,-11.645397186,0.83084118366,2.0543398857,0.33261612058,1.3310753107
2.6423475742,-6.9191365242,0.19068486989,1.5210545063,1.0555751324,0.82375180721
0.19068486989,-3.8681788445,-0.5311935544,0.81275618076,0.4114177525,-0.21502456069
1.8387469053,-11.304888725,5.2029728889,-2.8163943291,-1.3716979027,-1.0705413818
3.5685310364,-9.1256332397,-2.4108016491,-0.83535820246,1.1325441599,-0.0018325957935
2.4516625404,-11.073342323,1.7297841311,-1.6175711155,-0.57360243797,-0.47555857897
1.2394516468,-10.215260506,0.74911910295,-0.84177231789,2.1160371304,0.079412482679
-0.13620348275,-10.487668037,1.2939330339,-0.42638394237,0.7009678483,-0.59345561266
