accX,accY,accZ,gyroX,gyroY,gyroZ
-3.7728362083,6.2108783722,6.7420721054,-0,-0,-0
-3.7728362083,6.2108783722,6.7420721054,-0,-0,-0
-3.7728362083,6.2108783722,6.7420721054,-0,-0,-0
-3.7728362083,6.2108783722,6.7420721054,0.03268129006,-0.97066485882,-0.87781333923
-7.463950634,-9.4525213242,-5.2302136421,9.9888687134,-8.3541927338,-9.9839811325
8.4718561172,-17.025434494,-5.4753799438,9.9888687134,0.1215621829,4.3346996307
2.1383945942,-6.5105261803,-14.001717567,-8.8077602386,2.9804115295,-0.29199358821
12.966570854,-4.8624639511,-3.1190595627,-9.9879522324,-9.9033470154,-2.4126121998
-11.304888725,-6.9463772774,-16.439760208,0.61422502995,-0.92668259144,-1.4963144064
17.474906921,-11.931424141,-2.7785508633,-10.003529549,-7.241502285,8.1410007477
-11.386610985,-15.118585587,-17.188879013,9.9888687134,5.0414710045,-9.652586937
13.988097191,-14.451189041,13.279838562,-9.3828897476,-3.759875536,7.3761978149
-16.167352676,-18.973144531,-18.264886856,9.9888687134,-0.61453044415,-6.8261137009
18.074201584,-18.101442337,10.773694992,-9.8272943497,-4.2216897011,9.3370752335
-14.15154171,-15.854084969,-17.379564285,9.9888687134,0.88147854805,-9.9839811325
17.992479324,-16.180973053,1.9068486691,-8.4042844772,-4.9892420769,10.008416176
-15.118585587,-16.317176819,-18.632635117,9.9888687134,-2.4843890667,-8.1929244995
18.918663025,-17.965238571,5.2846951485,-6.3077945709,-5.543296814,9.9855089188
-10.978000641,-15.241168976,-14.042578697,9.9888687134,0.56321775913,-9.9051799774
16.480621338,-15.976667404,8.6080598831,-5.7830615044,-3.0680706501,7.1853022575
-13.18449688,-17.951618195,-7.1234416962,9.9888687134,-2.2195789814,-9.9839811325
6.4424242973,-12.63968277,-5.0395288467,2.5470025539,-2.9000828266,-6.0350432396
1.4573771954,4.6172976494,-6.55138731,-10.002918243,6.4867782593,1.3842206001
8.3765134811,4.5355758667,12.871228218,-6.5301494598,3.8683042526,2.4944682121
3.7592160702,3.6230125427,9.6704473495,-0.98471474648,1.0525208712,1.0772608519
1.7161637545,3.0781986713,8.5808191299,0.47433686256,1.6914858818,0.13775011897
0.12258312851,2.9556155205,8.8123645782,0.216246292,1.1621711254,0.22082778811
-0.40861043334,1.9340894222,10.691972733,-0.57451874018,-0.290771842,0.28008171916
-0.80360049009,1.7025434971,8.9485683441,-0.55313849449,1.3533719778,0.41874814034
-1.8932282925,0.92618364096,10.160778999,-1.2015719414,0.11392636597,-0.1942551434
