accX,accY,accZ,gyroX,gyroY,gyroZ
-6.2926006317,5.7341666222,8.512717247,-0,-0,-0
-6.2926006317,5.7341666222,8.512717247,-0,-0,-0
-6.2926006317,5.7341666222,8.512717247,-0,-0,-0
-1.9477096796,10.664731979,14.941521645,-0.41477748752,-0.93737274408,3.1407637596
8.4309949875,-10.787315369,-3.2688834667,8.9421510696,10.008416176,-9.4913187027
1.7297841311,0.054481390864,6.1563973427,-9.7866716385,-9.9445810318,9.3007287979
12.666923523,5.8022680283,17.011814117,1.5326608419,8.5347042084,0.28221973777
-7.6410150528,-4.3176503181,1.8387469053,2.2067506313,-8.7665271759,10.007804871
4.7126402855,0.47671216726,4.5083351135,9.9888687134,4.6838092804,-2.4443771839
6.4832854271,-3.8000769615,15.091344833,-10.003529549,-3.7134497166,8.0414304733
10.256121635,-12.380895615,5.9248514175,5.2439727783,0.53572881222,-3.3295209408
-12.966570854,-5.2574543953,6.9736180305,9.9601573944,-2.2094995975,-5.6941804886
12.871228218,-12.63968277,8.9213275909,-5.5255813599,0.017104227096,10.008416176
-2.2473573685,-3.0918190479,7.4775710106,0.41294491291,-3.8133263588,2.7131578922
-1.2258312702,-17.829034805,-8.853225708,9.0857038498,1.1380419731,-9.9839811325
6.1836380959,-7.8725609779,4.630918026,-9.1086120605,-2.4477369785,4.9828276634
-10.310603142,-18.836940765,-15.173067093,-0.19578230381,3.5778377056,-0.048563785851
13.729310036,0.31326800585,12.380895615,-10.003529549,-6.2195243835,10.008416176
-12.735025406,-17.434045792,-17.16163826,9.9888687134,0.19669860601,-9.9839811325
11.12782383,7.6137742996,18.278507233,-10.003529549,-7.5509052277,10.008416176
-14.083439827,-12.217452049,-17.352323532,9.9888687134,3.3790011406,-4.7662758827
11.931424141,-9.5070028305,7.9270424843,-9.4103794098,-1.8478673697,5.849339962
-1.089627862,-5.0259084702,5.7205462456,9.9888687134,0.70463305712,-9.9839811325
12.857607841,2.6423475742,18.060581207,-10.003529549,-7.2292847633,10.008416176
-12.803127289,-17.20249939,-16.289936066,9.7991952896,4.3762388229,-7.6278743744
16.657684326,3.9090397358,18.196784973,-4.1828999519,-1.2705997229,7.688044548
-13.593107224,-17.61110878,-10.065437317,-0.60842180252,-0.36682456732,1.5039502382
7.2460250854,10.514908791,17.311462402,-8.3923721313,7.5603737831,6.6382727623
-15.023243904,-17.297842026,-7.5048117638,9.9888687134,-1.7049249411,-3.4785721302
-7.2051639557,-11.795221329,-8.3628931046,-10.003529549,-1.5515977144,1.6035212278
